map_simple_use,premise_age,height_bucket,total_count,global_average_fc
Mixed Use,"1919-1944,1945-1959,Pre 1919",4-5m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",40-45m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",45-50m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",5-6m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",50-55m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",55-60m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",6-7m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",60-70m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",7-8m,2,2.0
Mixed Use,"1919-1944,1945-1959,Pre 1919",70-80m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",8-9m,2,2.5
Mixed Use,"1919-1944,1945-1959,Pre 1919",80-90m,0,
Mixed Use,"1919-1944,1945-1959,Pre 1919",9-10m,6,2.0
Mixed Use,"1919-1944,1945-1959,Pre 1919",90-100m,0,
Mixed Use,"1919-1944,1960-1979",0-2m,0,
Mixed Use,"1919-1944,1960-1979",10-12m,24,2.3333333333333335
Mixed Use,"1919-1944,1960-1979",100-200m,0,
Mixed Use,"1919-1944,1960-1979",12-14m,9,3.2222222222222223
Mixed Use,"1919-1944,1960-1979",14-16m,2,3.0
Mixed Use,"1919-1944,1960-1979",16-18m,2,3.0
Mixed Use,"1919-1944,1960-1979",18-20m,1,5.0
Mixed Use,"1919-1944,1960-1979",2-3m,0,
Mixed Use,"1919-1944,1960-1979",20-25m,2,8.0
Mixed Use,"1919-1944,1960-1979",25-30m,0,
Mixed Use,"1919-1944,1960-1979",3-4m,0,
Mixed Use,"1919-1944,1960-1979",30-35m,0,
Mixed Use,"1919-1944,1960-1979",35-40m,0,
Mixed Use,"1919-1944,1960-1979",4-5m,0,
Mixed Use,"1919-1944,1960-1979",40-45m,0,
Mixed Use,"1919-1944,1960-1979",45-50m,0,
Mixed Use,"1919-1944,1960-1979",5-6m,1,2.0
Mixed Use,"1919-1944,1960-1979",50-55m,0,
Mixed Use,"1919-1944,1960-1979",55-60m,0,
Mixed Use,"1919-1944,1960-1979",6-7m,0,
Mixed Use,"1919-1944,1960-1979",60-70m,0,
Mixed Use,"1919-1944,1960-1979",7-8m,8,2.0
Mixed Use,"1919-1944,1960-1979",70-80m,0,
Mixed Use,"1919-1944,1960-1979",8-9m,15,2.0
Mixed Use,"1919-1944,1960-1979",80-90m,0,
Mixed Use,"1919-1944,1960-1979",9-10m,25,2.08
