,map_simple_use,premise_age,height_bucket,weighted_average_floor_count
781,Mixed Use,1980-1989,8-9m,2.2276029055690074
782,Mixed Use,1980-1989,9-10m,2.436695278969957
783,Mixed Use,1980-1989,10-12m,2.7243186582809225
784,Mixed Use,1980-1989,12-14m,3.2707253886010363
785,Mixed Use,1980-1989,14-18m,3.6466729147141517
786,Mixed Use,1980-1989,18-20m,4.184210526315789
787,Mixed Use,1980-1989,20-30m,5.174834437086092
788,Mixed Use,1980-1989,30-40m,6.815450643776824
789,Mixed Use,1980-1989,40-50m,8.123456790123457
790,Mixed Use,1980-1989,50-100m,8.389473684210527
791,Mixed Use,1980-1989,100-200m,17.8
830,Mixed Use,"1980-1989,Pre 1919",3-4m,2.0
831,Mixed Use,"1980-1989,Pre 1919",4-5m,3.0
832,Mixed Use,"1980-1989,Pre 1919",5-6m,3.0
833,Mixed Use,"1980-1989,Pre 1919",6-7m,1.6
834,Mixed Use,"1980-1989,Pre 1919",7-8m,2.0
835,Mixed Use,"1980-1989,Pre 1919",8-9m,2.088235294117647
836,Mixed Use,"1980-1989,Pre 1919",9-10m,2.2615384615384615
837,Mixed Use,"1980-1989,Pre 1919",10-12m,2.4305555555555554
838,Mixed Use,"1980-1989,Pre 1919",12-14m,2.810344827586207
839,Mixed Use,"1980-1989,Pre 1919",14-18m,3.0851063829787235
840,Mixed Use,"1980-1989,Pre 1919",18-20m,3.3076923076923075
841,Mixed Use,"1980-1989,Pre 1919",20-30m,3.9047619047619047
842,Mixed Use,"1980-1989,Pre 1919",30-40m,5.0
843,Mixed Use,"1980-1989,Pre 1919",40-50m,3.5
844,Mixed Use,"1980-1989,Pre 1919",50-100m,5.0
884,Mixed Use,1990-1999,3-4m,1.7857142857142858
885,Mixed Use,1990-1999,4-5m,1.8333333333333333
886,Mixed Use,1990-1999,5-6m,1.826086956521739
887,Mixed Use,1990-1999,6-7m,3.652173913043478
888,Mixed Use,1990-1999,7-8m,2.1
889,Mixed Use,1990-1999,8-9m,2.1543942992874108
890,Mixed Use,1990-1999,9-10m,2.2466666666666666
891,Mixed Use,1990-1999,10-12m,2.6657894736842107
892,Mixed Use,1990-1999,12-14m,3.107476635514019
893,Mixed Use,1990-1999,14-18m,3.4104046242774566
894,Mixed Use,1990-1999,18-20m,3.870967741935484
895,Mixed Use,1990-1999,20-30m,5.037037037037037
896,Mixed Use,1990-1999,30-40m,10.4
897,Mixed Use,1990-1999,40-50m,6.0
898,Mixed Use,1990-1999,50-100m,9.833333333333334
941,Mixed Use,"1990-1999,Pre 1919",6-7m,2.0
942,Mixed Use,"1990-1999,Pre 1919",7-8m,2.0
943,Mixed Use,"1990-1999,Pre 1919",8-9m,2.0
944,Mixed Use,"1990-1999,Pre 1919",9-10m,1.8
945,Mixed Use,"1990-1999,Pre 1919",10-12m,2.3
946,Mixed Use,"1990-1999,Pre 1919",12-14m,2.375
947,Mixed Use,"1990-1999,Pre 1919",14-18m,2.909090909090909
948,Mixed Use,"1990-1999,Pre 1919",18-20m,3.5
949,Mixed Use,"1990-1999,Pre 1919",20-30m,3.4
972,Mixed Use,Post 1999,0-2m,2.0
973,Mixed Use,Post 1999,2-3m,2.0
974,Mixed Use,Post 1999,3-4m,3.061224489795918
975,Mixed Use,Post 1999,4-5m,2.3
976,Mixed Use,Post 1999,5-6m,3.372549019607843
977,Mixed Use,Post 1999,6-7m,2.0294117647058822
978,Mixed Use,Post 1999,7-8m,2.327485380116959
979,Mixed Use,Post 1999,8-9m,2.23019801980198
980,Mixed Use,Post 1999,9-10m,2.2793478260869566
981,Mixed Use,Post 1999,10-12m,2.898448519040903
982,Mixed Use,Post 1999,12-14m,3.103671706263499
983,Mixed Use,Post 1999,14-18m,3.526315789473684
984,Mixed Use,Post 1999,18-20m,4.451219512195122
985,Mixed Use,Post 1999,20-30m,5.357954545454546
986,Mixed Use,Post 1999,30-40m,6.581818181818182
987,Mixed Use,Post 1999,40-50m,10.277777777777779
988,Mixed Use,Post 1999,50-100m,14.083333333333334
989,Mixed Use,Post 1999,100-200m,23.0
998,Mixed Use,"Post 1999,Pre 1919",9-10m,2.0
999,Mixed Use,"Post 1999,Pre 1919",10-12m,3.0
1000,Mixed Use,"Post 1999,Pre 1919",12-14m,3.0
1003,Mixed Use,"Post 1999,Pre 1919",20-30m,5.0
1026,Mixed Use,Pre 1837,0-2m,2.0
1028,Mixed Use,Pre 1837,3-4m,1.875
1029,Mixed Use,Pre 1837,4-5m,2.1666666666666665
