shapefile,extent,crs
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/tw.shp,[ 249033.17040965 5697589.50006891  273905.61173254 5710534.24295781],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ta.shp,[  21782.63863123 5644545.0814087   109069.61871615 5704366.5656904 ],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ch.shp,[  75565.04860439 5892703.64991511  119389.04023658 5940562.20345417],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/bl.shp,[ 128380.81349645 5944165.0216551   153635.37382097 5962878.34103297],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ab.shp,[  94451.88632166 6304677.99162565  214627.22400105 6411189.79121997],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/bn.shp,[ 241651.4060641  5623836.52681358  317515.96492199 5653086.48939778],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/le.shp,[ 195261.32350541 5813036.63248628  262030.67226346 5867071.91549514],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/wn.shp,[ 113707.4183992  5939123.99891134  137069.85980637 5956971.17156296],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ls.shp,[ 176326.08413435 5961561.78993915  227137.5264459  5994897.67337859],EPSG:32631
/Volumes/T9/Data_downloads/codepoint_polygons_edina/Download_all_postcodes_2378998/codepoint-poly_5267291/two_letter_pc_code/ld.shp,[  36657.49933099 5762170.5674948    96735.84494114 5830253.13741793],EPSG:32631
